t	(Var=minDt) Max	(Var=minDt) WeightedMean	(Var=minDt) Min
0.0	0.0	0.0	0.0
0.5	1.8956293455034758	1.8952019767436143	1.894834944112296
1.0	4.40551563079666	4.404225334048379	4.40311903992018
1.5	10.430355684313719	10.426243195535957	10.422722540223344
2.0	23.756614401990937	23.753120047090285	23.74911074715577
2.5	39.45070416363716	39.40952438339023	39.361793123300984
3.0	49.986601690943246	49.90247998351213	49.80492162878484
3.5	55.31230630976505	55.192644861742025	55.05381906739981
4.0	57.25485028171343	57.10761464788188	56.93674472828456
4.5	57.34752136916361	57.178929162000735	56.98323217104441
5.0	56.55521828018614	56.36971910456694	56.154379507836
5.5	55.411032438105565	55.211749610879416	54.98042320139623
6.0	54.18433279979375	53.9734797097388	53.72876851978774
6.5	52.99900317891131	52.77818914129198	52.52199093672478
7.0	51.903921603996615	51.67436085834351	51.40810913543063
7.5	50.91184382262097	50.67449366442991	50.39931745867854
8.0	50.01980411251852	49.77545334312713	49.492280495060044
8.5	49.2193041066561	48.968627414411756	48.678248724962565
9.0	48.50105885245836	48.244648549503275	47.94775568979674
9.5	47.85694080654982	47.595324189351736	47.29253078441189
10.0	47.28054839091069	47.01419652981247	46.70604910452826
10.5	46.76715184307384	46.496483695907074	46.18346701658451
11.0	46.313400703481456	46.03878502691607	45.721324741520526
11.5	45.91697893723317	45.63873546000975	45.31719977173951
12.0	45.576289230927564	45.29468987790959	44.96939119669094
12.5	45.29019497937065	45.00546550749739	44.676662520409366
13.0	45.05782320378975	44.77014535855476	44.438045660670014
13.5	44.87842097201462	44.58793513629485	44.25269839987971
14.0	44.75125457943284	44.45806282278806	44.11980440575102
14.5	44.67554088288667	44.37971029901252	44.038505167419174
15.0	44.6504017052713	44.35196792825901	44.007854769853914
15.5	44.67483412157625	44.373804925657616	44.026790346811126
16.0	44.747691230269176	44.444050135998054	44.09411285494356
16.5	44.86766953319703	44.56137936059469	44.20847433014474
17.0	45.03330024992493	44.7243065752039	44.36836898620388
17.5	45.24294281323516	44.93117729842885	44.572126429868824
18.0	45.49477947378064	45.18016304837967	44.817905941249165
18.5	45.786810439719446	45.46925632002969	45.103691259647135
19.0	46.11684933100959	45.79626586802876	45.42728566498562
19.5	46.48251898264641	46.1588123311962	45.78630739354456
20.0	46.88124780403639	46.554324407067405	46.17818559751176
20.5	47.31026702154711	46.98003590353034	46.60015717526587
21.0	47.76660920789841	47.43298407037575	47.04926487421118
21.5	48.247108546904855	47.91000965824641	47.52235711255459
22.0	48.74840330059095	48.40775917159409	48.0160899855874
22.5	49.26694094316891	48.92268977900142	48.52693191923166
23.0	49.79898640391427	49.45107732389626	49.05117141427397
23.5	50.34063382014531	49.98902783777426	49.58492828468789
24.0	50.887822144651125	50.53249290272794	50.12416873963278
24.5	51.43635487777824	51.07728913713764	50.66472458698156
25.0	51.981924103970975	51.61912198919736	51.20231674867805
25.5	52.52013890801913	52.153613919524716	51.73258317598943
26.0	53.046558131512555	52.67633694036313	52.25111114002945
26.5	53.55672729709723	53.18284934657191	52.75347374156248
27.0	54.04621939821269	53.66873634373408	53.235270354057384
