t	(Var=minDt) Max	(Var=minDt) WeightedMean	(Var=minDt) Min
0.0	0.0	0.0	0.0
3.0	49.98659468306527	49.90247215787027	49.80491299043981
6.0	54.184332945694116	53.973478872438875	53.72876478985795
9.0	48.501037120238244	48.24462587943855	47.9477311244929
12.0	45.57626415111244	45.294664129099026	44.96936408000502
15.0	44.65045492941027	44.352020163318116	44.0079053883914
18.0	45.49484416345255	45.18022619265249	44.81796465987156
21.0	47.76666352852141	47.43303718168996	47.049314732667405
24.0	50.88784956864578	50.532519291511306	50.12419325129437
27.0	54.0461912455636	53.66870738882675	53.23523958778885
30.0	56.31608480049988	55.91864780469093	55.4625750321075
33.0	56.93942615191409	56.52624002363114	56.05243279188177
36.0	55.66233162048272	55.23942827511207	54.75488169233313
39.0	52.89676721130718	52.47233576881482	51.986504778660084
42.0	49.54907547349871	49.13198594062059	48.65503926056443
45.0	46.616258954219724	46.21231714374813	45.75083111900303
48.0	44.83036349003109	44.43956173142572	43.99341713049971
51.0	44.530304688555425	44.14737014524657	43.71043482448976
54.0	45.70462305858256	45.32172848994049	44.884978432912376
57.0	48.05779239183577	47.667466281860136	47.222309224195136
60.0	51.038877386736274	50.63615231089804	50.176870565363984
63.0	53.885375989612754	53.468763972970244	52.99362993516601
66.0	55.77110635846219	55.34227717306468	54.85317199923028
69.0	56.07937282860401	55.642167657909205	55.1434918940459
72.0	54.685575811390336	54.24557301750171	53.743750415657246
75.0	52.05105812551048	51.6153705799571	51.11859001724296
78.0	49.02766349745478	48.60317616176071	48.11933857202076
81.0	46.49652174385049	46.08676516766883	45.61988896112718
84.0	45.078142190664906	44.68149510979258	44.22968459849796
87.0	45.038835896718695	44.64944982387107	44.205980941413905
90.0	46.32779629973109	45.93808426024524	45.49425824638966
93.0	48.62907900409116	48.232234656547604	47.780251947554284
96.0	51.392160290339866	50.983940310523614	50.51893060144002
99.0	53.89374011613169	53.4731565247947	52.99396898485264
102.0	55.3983775203922	54.967276225627174	54.47600885279188
105.0	55.413975046274395	54.97621076614566	54.477280850505004
108.0	53.92091907897671	53.48197298761883	52.98169306433367
111.0	51.4098551611699	50.97633004934684	50.48229967340034
114.0	48.674541008326806	48.25225572843926	47.77115335372877
117.0	46.491313947008244	46.082645515975344	45.617179133100144
120.0	45.38413200570063	44.98684715468492	44.53443404505659
123.0	45.55557638326983	45.16393737339695	44.71799330334615
126.0	46.91921877961737	46.52627055679338	46.078827060149614
129.0	49.14220597054845	48.74197896484447	48.286199149395834
132.0	51.680499166438544	51.269514296091145	50.8014018930827
135.0	53.85538113492699	53.43313033789475	52.95208795817781
138.0	55.020828460704344	54.58933992886576	54.097678929657015
