t	(Var=minDt) Max	(Var=minDt) WeightedMean	(Var=minDt) Min
0.0	0.0	0.0	0.0
3.0	49.98659487181499	49.90247223386928	49.80491342634501
6.0	54.18433396324928	53.973476985336916	53.72875705882477
9.0	48.50103719031185	48.244624472793774	47.94772602214152
12.0	45.57626444483751	45.29466317503271	44.96936017855501
15.0	44.6504552193836	44.3520195380756	44.00790244308371
18.0	45.49484593675273	45.180224074330454	44.817958130205675
21.0	47.76666444078574	47.433035470135245	47.04931026448222
24.0	50.88784974234823	50.53251776132815	50.12418983930449
27.0	54.0461909629383	53.66870604185518	53.235237748471846
30.0	56.31608444843712	55.91864658357787	55.462573499618344
33.0	56.93942624006197	56.52623894880281	56.052431138356454
36.0	55.6623315228556	55.23942747166531	54.75488053880534
39.0	52.896766775568025	52.47233535182551	51.98650413542767
42.0	49.54907570358243	49.131985894502314	48.65503901907985
45.0	46.616259609426244	46.2123176967757	45.75083164484216
48.0	44.830364675488454	44.43956286031504	43.99341818693709
51.0	44.530306661974265	44.1473718078194	43.71043606959176
54.0	45.70462535954902	45.32173056358867	44.88498029084095
57.0	48.057794741328564	47.66746872952965	47.222311534242294
60.0	51.038879917346826	50.636154949039756	50.17687311003177
63.0	53.88537836724829	53.468766020452556	52.99362692874244
66.0	55.771108027388394	55.34227876655864	54.8531699657684
69.0	56.07937306129542	55.64216788011922	55.143489311770786
72.0	54.68557405975835	54.24557124137639	53.7437465933036
75.0	52.05105372201666	51.615366245197436	51.11858397566991
78.0	49.02765685370761	48.603169325368945	48.11933054190546
81.0	46.496512894238165	46.08675627833945	45.6198792426462
84.0	45.07813176011687	44.68148486512873	44.22967377542657
87.0	45.03882494634762	44.649439013276144	44.20597023993733
90.0	46.32778571311975	45.938073835159294	45.494247919422826
93.0	48.6290701753341	48.23222593027849	47.78024335884182
96.0	51.39215530834905	50.98393544093084	50.51892582523644
99.0	53.89374204959339	53.47315850048835	52.99397106486218
102.0	55.39838978438146	54.96728861175526	54.47602102629882
105.0	55.41400076179665	54.9762368954148	54.47730863870083
108.0	53.920959843836485	53.48201368271069	52.981733797504035
111.0	51.40990880428994	50.976383205694084	50.48235256819214
114.0	48.67460609876991	48.252315830713066	47.771212101916745
117.0	46.49137518089671	46.08270584037836	45.61723831586043
120.0	45.384186877174685	44.98690013378952	44.5344861036119
123.0	45.555615387549686	45.16397506416522	44.718030286542096
126.0	46.91923280038839	46.52628359998546	46.07883969663167
129.0	49.14218230758814	48.74195509435306	48.28617524978589
132.0	51.68042267083903	51.26943791564071	50.80132601432269
135.0	53.85523476727851	53.432984722551666	52.951943349120704
138.0	55.02060002801802	54.589112909634544	54.09745376461065
141.0	54.79561049999266	54.35876309660805	53.86093513460982
144.0	53.24465134879647	52.80778480504224	52.30993692985128
147.0	50.87145464956699	50.44063287421098	49.9497430639325
150.0	48.409397831065505	47.989482776493986	47.51112737873116
153.0	46.54057091090321	46.133015189708466	45.66884368558209
156.0	45.70513761242877	45.307300324751196	44.854269210589244
159.0	46.050509163703886	45.65686448965979	45.20863564516252
162.0	47.45929851246294	47.0635180626648	46.61284225170487
165.0	49.586243399273194	49.183135591115764	48.724063790085914
168.0	51.89962932384681	51.486385673632185	51.01569128865077
171.0	53.770030157468746	53.34655150375232	52.86410634224363
174.0	54.637582447418936	54.20604670014363	53.71433871280808
177.0	54.219436699891666	53.783717533748515	53.28719613165148
180.0	52.645685952992146	52.21092388989701	51.715505032139085
183.0	50.42024788933754	49.99193523679902	49.503935380388754
