t	(Var=A_Count) A_Count	(Var=AB_Count) AB_Count	(Var=ABC_Count) ABC_Count	(Var=AC_Count) AC_Count	(Var=B_Count) B_Count	(Var=BAC_Count) BAC_Count	(Var=BC_Count) BC_Count	(Var=C_Count) C_Count	(Var=CABC_Count) CABC_Count
0.0	665.0	0.0	0.0	0.0	665.0	0.0	0.0	3755.0	0.0
2.77706151E-5	665.0	0.0	0.0	0.0	664.0	0.0	1.0	3754.0	0.0
6.51146523E-5	664.0	0.0	0.0	1.0	664.0	0.0	1.0	3753.0	0.0
7.669639093E-5	664.0	0.0	0.0	1.0	663.0	0.0	2.0	3752.0	0.0
8.190759979E-5	664.0	0.0	0.0	1.0	662.0	0.0	3.0	3751.0	0.0
1.806216795E-4	663.0	0.0	0.0	2.0	662.0	0.0	3.0	3750.0	0.0
2.152753481E-4	663.0	0.0	0.0	2.0	661.0	0.0	4.0	3749.0	0.0
2.456464159E-4	662.0	0.0	0.0	3.0	661.0	0.0	4.0	3748.0	0.0
2.508728635E-4	662.0	0.0	0.0	3.0	660.0	0.0	5.0	3747.0	0.0
2.823112164E-4	661.0	0.0	0.0	4.0	660.0	0.0	5.0	3746.0	0.0
3.170269919E-4	661.0	0.0	0.0	4.0	659.0	0.0	6.0	3745.0	0.0
4.436017271E-4	661.0	0.0	0.0	4.0	658.0	0.0	7.0	3744.0	0.0
4.463620435E-4	660.0	0.0	0.0	5.0	658.0	0.0	7.0	3743.0	0.0
4.593197531E-4	659.0	0.0	0.0	6.0	658.0	0.0	7.0	3742.0	0.0
5.141218309E-4	658.0	0.0	0.0	7.0	658.0	0.0	7.0	3741.0	0.0
5.889812831E-4	658.0	0.0	0.0	7.0	657.0	0.0	8.0	3740.0	0.0
7.680947369E-4	657.0	0.0	0.0	8.0	657.0	0.0	8.0	3739.0	0.0
8.42423806E-4	657.0	0.0	0.0	8.0	656.0	0.0	9.0	3738.0	0.0
9.199879908E-4	657.0	0.0	0.0	8.0	655.0	0.0	10.0	3737.0	0.0
9.312886325E-4	656.0	0.0	0.0	9.0	655.0	0.0	10.0	3736.0	0.0
9.484884175E-4	655.0	0.0	0.0	10.0	655.0	0.0	10.0	3735.0	0.0
9.970910766E-4	655.0	0.0	0.0	10.0	654.0	0.0	11.0	3734.0	0.0
0.001075409296	654.0	0.0	0.0	11.0	654.0	0.0	11.0	3733.0	0.0
0.001243800841	654.0	0.0	0.0	11.0	653.0	0.0	12.0	3732.0	0.0
0.001255089308	653.0	0.0	0.0	12.0	653.0	0.0	12.0	3731.0	0.0
0.001388730552	653.0	0.0	0.0	12.0	652.0	0.0	13.0	3730.0	0.0
0.001439257039	653.0	0.0	0.0	12.0	651.0	0.0	14.0	3729.0	0.0
0.001534075011	652.0	0.0	0.0	13.0	651.0	0.0	14.0	3728.0	0.0
0.001606480461	652.0	0.0	0.0	13.0	650.0	0.0	15.0	3727.0	0.0
0.001694685269	652.0	0.0	0.0	13.0	649.0	0.0	16.0	3726.0	0.0
0.001812992435	651.0	0.0	0.0	14.0	649.0	0.0	16.0	3725.0	0.0
0.001871009576	650.0	0.0	0.0	15.0	649.0	0.0	16.0	3724.0	0.0
0.001906072426	649.0	0.0	0.0	16.0	649.0	0.0	16.0	3723.0	0.0
0.001950499379	648.0	0.0	0.0	17.0	649.0	0.0	16.0	3722.0	0.0
0.002172273629	648.0	0.0	0.0	17.0	648.0	0.0	17.0	3721.0	0.0
0.002214452451	648.0	0.0	0.0	17.0	647.0	0.0	18.0	3720.0	0.0
0.002305788397	647.0	0.0	0.0	18.0	647.0	0.0	18.0	3719.0	0.0
0.002356851811	646.0	0.0	0.0	19.0	647.0	0.0	18.0	3718.0	0.0
0.002451848187	645.0	0.0	0.0	20.0	647.0	0.0	18.0	3717.0	0.0
0.002473688754	644.0	0.0	0.0	21.0	647.0	0.0	18.0	3716.0	0.0
0.002541923509	644.0	0.0	0.0	21.0	646.0	0.0	19.0	3715.0	0.0
0.00257311546	644.0	0.0	0.0	21.0	645.0	0.0	20.0	3714.0	0.0
0.00263984847	643.0	0.0	0.0	22.0	645.0	0.0	20.0	3713.0	0.0
0.002701259086	642.0	0.0	0.0	23.0	645.0	0.0	20.0	3712.0	0.0
0.00274970842	641.0	0.0	0.0	24.0	645.0	0.0	20.0	3711.0	0.0
0.002762693143	640.0	0.0	0.0	25.0	645.0	0.0	20.0	3710.0	0.0
0.002768308739	640.0	0.0	0.0	25.0	644.0	0.0	21.0	3709.0	0.0
0.002789237091	640.0	0.0	0.0	25.0	643.0	0.0	22.0	3708.0	0.0
0.002794630281	639.0	0.0	0.0	26.0	643.0	0.0	22.0	3707.0	0.0
0.002937829292	638.0	0.0	0.0	27.0	643.0	0.0	22.0	3706.0	0.0
0.003006384959	638.0	0.0	0.0	27.0	642.0	0.0	23.0	3705.0	0.0
0.003057366329	637.0	0.0	0.0	28.0	642.0	0.0	23.0	3704.0	0.0
0.003097204447	636.0	0.0	0.0	29.0	642.0	0.0	23.0	3703.0	0.0
0.003171480075	635.0	0.0	0.0	30.0	642.0	0.0	23.0	3702.0	0.0
0.003316295148	634.0	0.0	0.0	31.0	642.0	0.0	23.0	3701.0	0.0
0.003340350713	634.0	0.0	0.0	31.0	641.0	0.0	24.0	3700.0	0.0
0.0033863035	634.0	0.0	0.0	31.0	640.0	0.0	25.0	3699.0	0.0
0.003643301204	633.0	0.0	0.0	32.0	640.0	0.0	25.0	3698.0	0.0
0.003775364746	632.0	0.0	0.0	33.0	640.0	0.0	25.0	3697.0	0.0
0.003798349984	631.0	0.0	0.0	34.0	640.0	0.0	25.0	3696.0	0.0
0.003806119818	631.0	0.0	0.0	34.0	639.0	0.0	26.0	3695.0	0.0
0.003876946079	630.0	0.0	0.0	35.0	639.0	0.0	26.0	3694.0	0.0
0.003926378957	630.0	0.0	0.0	35.0	638.0	0.0	27.0	3693.0	0.0
0.003974327181	629.0	0.0	0.0	36.0	638.0	0.0	27.0	3692.0	0.0
0.004074139345	629.0	0.0	0.0	36.0	637.0	0.0	28.0	3691.0	0.0
0.004150703811	629.0	0.0	0.0	36.0	636.0	0.0	29.0	3690.0	0.0
0.004246105675	628.0	0.0	0.0	37.0	636.0	0.0	29.0	3689.0	0.0
0.004448853382	627.0	0.0	0.0	38.0	636.0	0.0	29.0	3688.0	0.0
0.00449576328	627.0	0.0	0.0	38.0	635.0	0.0	30.0	3687.0	0.0
0.004570422833	627.0	0.0	0.0	38.0	634.0	0.0	31.0	3686.0	0.0
0.00463557038	626.0	0.0	0.0	39.0	634.0	0.0	31.0	3685.0	0.0
0.00471517064	625.0	0.0	0.0	40.0	634.0	0.0	31.0	3684.0	0.0
0.004851304038	624.0	0.0	0.0	41.0	634.0	0.0	31.0	3683.0	0.0
0.004901268735	624.0	0.0	0.0	41.0	633.0	0.0	32.0	3682.0	0.0
0.004926655329	624.0	0.0	0.0	40.0	633.0	0.0	31.0	3682.0	1.0
0.005006122333	623.0	0.0	0.0	41.0	633.0	0.0	31.0	3681.0	1.0
0.005117865122	623.0	0.0	0.0	41.0	632.0	0.0	32.0	3680.0	1.0
0.005204637628	622.0	0.0	0.0	42.0	632.0	0.0	32.0	3679.0	1.0
0.005211058735	621.0	0.0	0.0	43.0	632.0	0.0	32.0	3678.0	1.0
0.005322436978	620.0	0.0	0.0	44.0	632.0	0.0	32.0	3677.0	1.0
0.005465138637	619.0	0.0	0.0	45.0	632.0	0.0	32.0	3676.0	1.0
0.005604913066	618.0	0.0	0.0	46.0	632.0	0.0	32.0	3675.0	1.0
0.005690536667	617.0	0.0	0.0	47.0	632.0	0.0	32.0	3674.0	1.0
0.005715382852	617.0	0.0	0.0	47.0	631.0	0.0	33.0	3673.0	1.0
0.005718975179	617.0	0.0	0.0	47.0	630.0	0.0	34.0	3672.0	1.0
0.00573150213	617.0	0.0	0.0	47.0	629.0	0.0	35.0	3671.0	1.0
0.005943533903	617.0	0.0	0.0	47.0	628.0	0.0	36.0	3670.0	1.0
0.005990335348	616.0	0.0	0.0	48.0	628.0	0.0	36.0	3669.0	1.0
0.005995282374	615.0	0.0	0.0	49.0	628.0	0.0	36.0	3668.0	1.0
0.005995860991	615.0	0.0	0.0	49.0	627.0	0.0	37.0	3667.0	1.0
0.00606478911	614.0	0.0	0.0	50.0	627.0	0.0	37.0	3666.0	1.0
0.006083203359	614.0	0.0	0.0	50.0	626.0	0.0	38.0	3665.0	1.0
0.006154949767	613.0	0.0	0.0	51.0	626.0	0.0	38.0	3664.0	1.0
0.006517518103	613.0	0.0	0.0	51.0	625.0	0.0	39.0	3663.0	1.0
0.006533727102	613.0	0.0	0.0	51.0	624.0	0.0	40.0	3662.0	1.0
0.006590873019	612.0	0.0	0.0	52.0	624.0	0.0	40.0	3661.0	1.0
0.006658359319	611.0	0.0	0.0	53.0	624.0	0.0	40.0	3660.0	1.0
0.006661049836	610.0	0.0	0.0	54.0	624.0	0.0	40.0	3659.0	1.0
0.006768078451	610.0	0.0	0.0	54.0	623.0	0.0	41.0	3658.0	1.0
0.006782179177	609.0	0.0	0.0	55.0	623.0	0.0	41.0	3657.0	1.0
0.006782197182	609.0	0.0	0.0	55.0	622.0	0.0	42.0	3656.0	1.0
0.006865286072	608.0	0.0	0.0	56.0	622.0	0.0	42.0	3655.0	1.0
0.006871919019	608.0	0.0	0.0	56.0	621.0	0.0	43.0	3654.0	1.0
0.006877454714	608.0	0.0	0.0	56.0	620.0	0.0	44.0	3653.0	1.0
0.006895461478	608.0	0.0	0.0	56.0	619.0	0.0	45.0	3652.0	1.0
0.006947364163	608.0	0.0	0.0	56.0	618.0	0.0	46.0	3651.0	1.0
0.006974122701	607.0	0.0	0.0	57.0	618.0	0.0	46.0	3650.0	1.0
0.00727029762	606.0	0.0	0.0	58.0	618.0	0.0	46.0	3649.0	1.0
0.007320102734	605.0	0.0	0.0	59.0	618.0	0.0	46.0	3648.0	1.0
0.007363988519	605.0	0.0	0.0	59.0	617.0	0.0	47.0	3647.0	1.0
0.007438407312	605.0	0.0	0.0	59.0	616.0	0.0	48.0	3646.0	1.0
0.007788405231	605.0	0.0	0.0	59.0	615.0	0.0	49.0	3645.0	1.0
0.007924213478	605.0	0.0	0.0	59.0	614.0	0.0	50.0	3644.0	1.0
