t	(Var=A) A	(Var=AB) AB	(Var=ABC) ABC	(Var=AC) AC	(Var=B) B	(Var=BAC) BAC	(Var=BC) BC	(Var=C) C	(Var=CABC) CABC
0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	16999.0	0.0
5.714502540501995E-14	0.999999999999352	2.857251270243444E-15	1.1102230228310934E-23	1.942816573718049E-9	0.999999999999352	1.1102230228310934E-23	1.942816573718049E-9	16998.999999996115	4.4788836570440557E-32
5.715073990756045E-10	0.999999993518535	2.8575369198316783E-11	1.1103161158852952E-15	1.9430108371777544E-5	0.999999993518535	1.1103161158852952E-15	1.9430108371777544E-5	16998.999961139783	4.4793632809891006E-20
6.2860099395775994E-9	0.999999928710369	3.143004383095928E-10	8.621917529240308E-14	2.13711751792033E-4	0.999999928710369	8.621917529240308E-14	2.13711751792033E-4	16998.999572576497	2.5971471168861807E-17
3.4350435535920594E-8	0.9999996104318458	1.7175202978796922E-9	2.1724773747076904E-12	0.0011678457510708843	0.9999996104318458	2.1724773747076904E-12	0.0011678457510708843	16998.997664308492	3.3422474903086464E-15
1.0350645120402477E-7	0.9999988261344049	5.175309849838721E-9	1.86552539432114E-11	0.0035190092660180657	0.9999988261344049	1.86552539432114E-11	0.0035190092660180657	16998.99296198143	7.628886093065276E-14
2.3946469139206055E-7	0.9999972842364069	1.1973167663588298E-8	9.804918908837568E-11	0.008141304459644963	0.9999972842364069	9.804918908837568E-11	0.008141304459644963	16998.98371739088	8.530624723430539E-13
4.862601710573395E-7	0.9999944853455947	2.4312734205394232E-8	4.0097135881774293E-10	0.016531807201445533	0.9999944853455947	4.0097135881774293E-10	0.016531807201445533	16998.96693638478	6.7437403498597605E-12
9.214709333057032E-7	0.9999895496772864	4.607256342786073E-8	1.4303531904483082E-9	0.03132793190722113	0.9999895496772864	1.4303531904483082E-9	0.03132793190722113	16998.93734413323	4.434962358115181E-11
1.6790487038945004E-6	0.9999809581705403	8.394917311536418E-8	4.707436721088743E-9	0.05708351188546771	0.9999809581705403	4.707436721088743E-9	0.05708351188546771	16998.885832966283	2.622237420256567E-10
2.9647881468544965E-6	0.9999663771528257	1.482292395828704E-7	1.447689750977955E-8	0.10079441741745007	0.9999663771528257	1.447689750977955E-8	0.10079441741745007	16998.798411133368	1.4140377467016166E-9
4.250527589814493E-6	0.9999517964411114	2.1250548272171057E-7	2.940712672885452E-8	0.14450440135241804	0.9999517964411114	2.940712672885452E-8	0.14450440135241804	16998.710991130523	3.9649410651294995E-9
6.457635699806233E-6	0.9999267678166222	3.2283355627837703E-7	6.654356285229019E-8	0.21953507488699828	0.9999267678166222	6.654356285229019E-8	0.21953507488699828	16998.560929690568	1.3247879503799373E-8
8.664743809797973E-6	0.9999017400938116	4.3315036453451393E-7	1.1753941237724996E-7	0.29456303124321154	0.9999017400938116	1.1753941237724996E-7	0.29456303124321154	16998.410873640525	3.0892329733799854E-8
1.0871851919789712E-5	0.999876713272641	5.43455908470555E-7	1.8155397439531885E-7	0.3695882695084127	0.999876713272641	1.8155397439531885E-7	0.3695882695084127	16998.260822978507	5.960620434942447E-8
1.4669775316242464E-5	0.9998336500030731	7.332399124411553E-7	3.1988377869311115E-7	0.49868301440138113	0.9998336500030731	3.1988377869311115E-7	0.49868301440138113	16998.002633046057	1.4260251233667736E-7
2.1819785878665945E-5	0.9997525858816301	1.0904387995550082E-6	6.661652604684698E-7	0.7416962776702595	0.9997525858816301	6.661652604684698E-7	0.7416962776702595	16997.516605207515	4.52303856233354E-7
2.8969796441089426E-5	0.9996715312197989	1.4475195374563826E-6	1.1066964066630794E-6	0.9846809588327412	0.9996715312197989	1.1066964066630794E-6	0.9846809588327412	16997.030633813098	1.0278057257292823E-6
3.611980700351291E-5	0.9995904860161027	1.8044821612259046E-6	1.623792832972906E-6	1.2276370272712893	0.9995904860161027	1.623792832972906E-6	1.2276370272712893	16996.544718819707	1.9394364223828388E-6
4.326981756593639E-5	0.9995094502690622	2.1613267058811533E-6	2.2033028731180835E-6	1.4705644524196915	0.9995094502690622	2.2033028731180835E-6	1.4705644524196915	16996.05886018982	3.250413559567836E-6
5.0419828128359865E-5	0.9994284239771994	2.518053206356509E-6	2.8337962935048196E-6	1.7134632037230422	0.9994284239771994	2.8337962935048196E-6	1.7134632037230422	16995.573057891364	5.018498043943536E-6
5.7569838690783344E-5	0.9993474071390374	2.874661697514277E-6	3.5059586429151387E-6	1.9563332506307585	0.9993474071390374	3.5059586429151387E-6	1.9563332506307585	16995.087311896845	7.297211790763667E-6
6.471984925320682E-5	0.9992663997530996	3.231152214160463E-6	4.212166977253623E-6	2.1991745625994428	0.9992663997530996	4.212166977253623E-6	2.1991745625994428	16994.601622182345	1.0136684623428501E-5
7.18698598156303E-5	0.9991854018179102	3.587524791056485E-6	4.946177981143873E-6	2.4419871090959986	0.9991854018179102	4.946177981143873E-6	2.4419871090959986	16994.11598872677	1.3584275793847492E-5
7.901987037805378E-5	0.9991044133319934	3.9437794629266435E-6	5.702881765798597E-6	2.6847708595991153	0.9991044133319934	5.702881765798597E-6	2.6847708595991153	16993.63041151128	1.768506524608602E-5
8.616988094047726E-5	0.999023434293874	4.2999162644630964E-6	6.478099341263228E-6	2.927525783599666	0.999023434293874	6.478099341263228E-6	2.927525783599666	16993.14489051887	2.248225833665742E-5
9.331989150290074E-5	0.9989424647020765	4.6559352303296126E-6	7.2684144680536995E-6	3.1702518506007094	0.9989424647020765	7.2684144680536995E-6	3.1702518506007094	16992.659425734048	2.8017522110628684E-5
1.0046990206532421E-4	0.998861504555126	5.0118363951646675E-6	8.071034750994032E-6	3.4129490301174314	0.998861504555126	8.071034750994032E-6	3.4129490301174314	16992.17401714257	3.433126314818509E-5
1.1161057127707816E-4	0.9987353766777309	5.566143144146059E-6	9.340968219905239E-6	3.791045932251733	0.9987353766777309	9.340968219905239E-6	3.791045932251733	16991.41779783513	4.581301560003874E-5
1.227512404888321E-4	0.9986092717211815	6.120164113109363E-6	1.062858749565926E-5	4.169072512760386	0.9986092717211815	1.062858749565926E-5	4.169072512760386	16990.6617148748	5.942523466965064E-5
1.3389190970058604E-4	0.9984831896799016	6.673899432803572E-6	1.1928903190656657E-5	4.547028656497922	0.9984831896799016	1.1928903190656657E-5	4.547028656497922	16989.90576821869	7.530944124805453E-5
1.4503257891233998E-4	0.9983571305483163	7.2273492338786565E-6	1.323841276533595E-5	4.924914248394694	0.9983571305483163	1.323841276533595E-5	4.924914248394694	16989.149957826667	9.360410267605175E-5
1.5617324812409393E-4	0.9982310943208524	7.78051364689346E-6	1.4554591473215954E-5	5.302729173454769	0.9982310943208524	1.4554591473215954E-5	5.302729173454769	16988.394283660866	1.1444565311478168E-4
1.6731391733584787E-4	0.9981050809919377	8.333392802326554E-6	1.587554540767493E-5	5.680473316753621	0.9981050809919377	1.587554540767493E-5	5.680473316753621	16987.638745684973	1.3796918990448064E-4
1.784545865476018E-4	0.9979790905560016	8.88598683058401E-6	1.7199847242148108E-5	6.058146563437977	0.9979790905560016	1.7199847242148108E-5	6.058146563437977	16986.883343863563	1.643088022644866E-4
1.970457076400773E-4	0.9977688935153416	9.807499975086619E-6	1.9414459139918282E-5	6.688234996179608	0.9977688935153416	1.9414459139918282E-5	6.688234996179608	16985.623061392605	2.1489677441468194E-4
2.156368287325528E-4	0.9975587601848714	1.0728220075519145E-5	2.1632313055401754E-5	7.318125145932042	0.9975587601848714	2.1632313055401754E-5	7.318125145932042	16984.363157823762	2.743132656110101E-4
2.342279498250283E-4	0.9973486905387275	1.1648147736621553E-5	2.3851658194147926E-5	7.947816480312168	0.9973486905387275	2.3851658194147926E-5	7.947816480312168	16983.10363300132	3.4317021621231027E-4
2.528190709175038E-4	0.9971386845510568	1.2567283562623879E-5	2.6071439729019065E-5	8.577308467505413	0.9971386845510568	2.6071439729019065E-5	8.577308467505413	16981.844486771533	4.220775769497623E-4
2.714101920099793E-4	0.9969287421960161	1.3485628157260847E-5	2.829096113393193E-5	9.206600576267293	0.9969287421960161	2.829096113393193E-5	9.206600576267293	16980.58571898145	5.116439827528361E-4
2.900013131024548E-4	0.9967188634477725	1.4403182123779608E-5	3.0509790068088662E-5	9.83569227592482	0.9967188634477725	3.0509790068088662E-5	9.83569227592482	16979.327329478314	6.124769396139091E-4
3.247187935580315E-4	0.9963271013295908	1.6114528471312567E-5	3.46506566018866E-5	11.009933965828406	0.9963271013295908	3.465065660188659E-5	11.009933965828406	16976.97839670674	8.330319450573593E-4
3.594362740136082E-4	0.995935560767202	1.7823123709617794E-5	3.878775265222262E-5	12.183471480694932	0.995935560767202	3.878775265222262E-5	12.183471480694932	16974.630781600725	0.0010989331136351751
3.9415375446918494E-4	0.995544241592661	1.9528971753539957E-5	4.2921127054583086E-5	13.356301380822067	0.995544241592661	4.2921127054583086E-5	13.356301380822067	16972.28448317082	0.0014141139573038421
